x,Flaps Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
15.86956522,-0.143733039,-0.210519706,-0.285150224,-0.293974511,-0.346964007,-0.373338789,-0.455053796
15.96989967,-0.144466529,-0.212491026,-0.286803504,-0.294656275,-0.349094973,-0.375475646,-0.456139775
16.07023411,-0.14542549,-0.214398692,-0.288249006,-0.2951756,-0.35115793,-0.377995979,-0.457075704
16.17056856,-0.14638445,-0.216306357,-0.289694508,-0.295694925,-0.353194089,-0.380639158,-0.457968959
16.27090301,-0.147343411,-0.218214023,-0.29114001,-0.29621425,-0.355230248,-0.383282337,-0.458862213
16.37123746,-0.148302371,-0.220121689,-0.292585512,-0.296733575,-0.357111636,-0.385015937,-0.459129213
16.47157191,-0.149261332,-0.222029355,-0.294031014,-0.2972529,-0.358915697,-0.386390393,-0.459137316
16.57190635,-0.150197953,-0.223962457,-0.295443808,-0.297758733,-0.360360902,-0.387246451,-0.458594523
16.6722408,-0.151075178,-0.226097739,-0.296553759,-0.298196705,-0.361806107,-0.388102508,-0.45805173
16.77257525,-0.152005169,-0.228260214,-0.29762501,-0.298640094,-0.363101125,-0.3888295,-0.457473335
16.8729097,-0.15293516,-0.230422688,-0.298696261,-0.299083483,-0.363888177,-0.389010184,-0.456852371
16.97324415,-0.154772647,-0.232674859,-0.299575832,-0.29954909,-0.364543101,-0.388914748,-0.456195077
17.0735786,-0.157192935,-0.23497783,-0.300344997,-0.300028271,-0.364827586,-0.387936386,-0.455391586
17.17391304,-0.159796936,-0.23729666,-0.301079651,-0.300511714,-0.365006274,-0.386410193,-0.454283108
17.27424749,-0.162895064,-0.239713508,-0.301766233,-0.300994668,-0.364861228,-0.383207652,-0.452241378
17.37458194,-0.166162338,-0.242163909,-0.302436359,-0.301477454,-0.364716183,-0.380005111,-0.450199647
17.47491639,-0.169429611,-0.244614309,-0.303106486,-0.30196024,-0.364145155,-0.374918215,-0.447534038
17.57525084,-0.172696885,-0.24706471,-0.303776612,-0.302443027,-0.36300441,-0.369423947,-0.444573339
17.67558528,-0.176001903,-0.249530184,-0.304460569,-0.302919807,-0.361863666,-0.363929678,-0.44161264
17.77591973,-0.179664025,-0.252149011,-0.305295409,-0.303318662,-0.360722921,-0.35843541,-0.43865194
17.87625418,-0.183379261,-0.254793722,-0.306158429,-0.303699885,-0.359582177,-0.352941141,-0.435691241
17.97658863,-0.187201752,-0.257467168,-0.307041593,-0.30405653,-0.357581331,-0.347915467,-0.432364181
18.07692308,-0.191508638,-0.260270392,-0.308015737,-0.304302174,-0.354824695,-0.343345244,-0.428626664
18.17725753,-0.195815523,-0.263073615,-0.308989881,-0.304547817,-0.352068059,-0.338775022,-0.424889146
18.27759197,-0.200122409,-0.265876839,-0.309964026,-0.30479346,-0.349023004,-0.334687301,-0.419589381
18.37792642,-0.205474499,-0.26882803,-0.310971933,-0.305046456,-0.345888049,-0.330749976,-0.413802664
18.47826087,-0.210997601,-0.27180343,-0.311985365,-0.305300654,-0.342753094,-0.326812651,-0.408015947
18.57859532,-0.216520703,-0.274778831,-0.312998797,-0.305554853,-0.339655123,-0.323136482,-0.401828514
18.67892977,-0.222280175,-0.277844348,-0.313994464,-0.305908027,-0.336625394,-0.319853546,-0.395632031
18.77926421,-0.227632186,-0.2809658,-0.315163761,-0.306362034,-0.333763032,-0.317426198,-0.390857528
18.87959866,-0.232488717,-0.284118117,-0.316659456,-0.306897805,-0.330908267,-0.315039661,-0.38613742
18.97993311,-0.237345247,-0.287270434,-0.318155151,-0.307433576,-0.328053502,-0.312653123,-0.381417313
19.08026756,-0.242201778,-0.290422751,-0.319650845,-0.307969348,-0.325268391,-0.310770803,-0.376997109
19.18060201,-0.246991952,-0.293568592,-0.321434332,-0.308526935,-0.322568778,-0.309499219,-0.373225218
19.28093645,-0.251618185,-0.296677385,-0.324186902,-0.309152266,-0.31989663,-0.30842164,-0.369736195
19.3812709,-0.256275149,-0.299752693,-0.32724374,-0.309790748,-0.317224481,-0.307344061,-0.366247172
19.5819398,-0.265660164,-0.305726375,-0.334721599,-0.311163534,-0.31197455,-0.306014914,-0.36193321
19.68227425,-0.270338796,-0.308708754,-0.338868266,-0.3119272,-0.309395838,-0.305742691,-0.360757333
19.7826087,-0.274997331,-0.311691557,-0.343518422,-0.312791598,-0.306873345,-0.305903791,-0.360062058
19.88294314,-0.279593325,-0.314755152,-0.349372676,-0.313889926,-0.304680276,-0.306331766,-0.359564156
19.98327759,-0.284194968,-0.317852956,-0.355398745,-0.315036802,-0.303114854,-0.306999906,-0.359244266
20.08361204,-0.288811916,-0.32109564,-0.362032,-0.316378001,-0.301995787,-0.307893807,-0.359181902
20.18394649,-0.293495777,-0.324441915,-0.36878006,-0.31778572,-0.301347857,-0.309026004,-0.359391365
20.28428094,-0.298256961,-0.327907896,-0.375660785,-0.319270306,-0.300826043,-0.310591716,-0.360056193
20.38461538,-0.303350555,-0.331609845,-0.383030339,-0.320888741,-0.300370787,-0.312634012,-0.361108497
20.48494983,-0.308506272,-0.335353616,-0.390506355,-0.322531181,-0.300035646,-0.315235057,-0.362373407
20.58528428,-0.313661989,-0.339097386,-0.397982372,-0.324173621,-0.299781084,-0.318210942,-0.363780945
20.68561873,-0.319128653,-0.343015261,-0.406555244,-0.325947445,-0.300196226,-0.322279833,-0.365405474
20.78595318,-0.324707897,-0.346996079,-0.415464323,-0.327802253,-0.301565008,-0.327209273,-0.367882992
20.88628763,-0.330357596,-0.351024559,-0.424490596,-0.329747634,-0.303074287,-0.332264605,-0.370486874
20.98662207,-0.335864514,-0.355037175,-0.432852908,-0.332045456,-0.305504567,-0.337504537,-0.374688785
